Codigo,Nombre,Marca,Estatus,Asignado a,Observaciones,Fecha Modificacion
109,"FABRICA DE HIELO TORREY MHC-680 CON DEPOSITO, UNIDAD REMOTA Y TUBERIA     ",Naresa,Por revisar,,,
109,"FABRICA DE HIELO TORREY MHC-680 CON DEPOSITO, UNIDAD REMOTA Y TUBERIA     ",Equilinea,Por revisar,,,
149,UNION ESQUINERO PARA VITRINAS TEC AI,Naresa,Por revisar,,,
149,UNION ESQUINERO PARA VITRINAS TEC AI,Equilinea,Por revisar,,,
324,VITRINA CREMERA TORREY TEM-100 BLANCA LATERALES SOLIDOS,Naresa,Por revisar,,,
324,VITRINA CREMERA TORREY TEM-100 BLANCA LATERALES SOLIDOS,Equilinea,Por revisar,,,
429,BATIDORA 10 LITROS TORREY    ,Naresa,Por revisar,,,
429,BATIDORA 10 LITROS TORREY    ,Equilinea,Por revisar,,,
430,BATIDORA 20 LITROS TORREY  ,Naresa,Por revisar,,,
430,BATIDORA 20 LITROS TORREY  ,Equilinea,Por revisar,,,
440,BASCULA ETIQUETADORA TORREY 40 Kg. W-LABEL       ,Naresa,Por revisar,,,
440,BASCULA ETIQUETADORA TORREY 40 Kg. W-LABEL       ,Equilinea,Por revisar,,,
461,BASCULA ETIQUETADORA TORREY 20 Kg. W-LABEL     ,Naresa,Por revisar,,,
461,BASCULA ETIQUETADORA TORREY 20 Kg. W-LABEL     ,Equilinea,Por revisar,,,
489,CUARTO FRIO PAQUETE REFRIGERACION TORREY     ,Naresa,Por revisar,,,
489,CUARTO FRIO PAQUETE REFRIGERACION TORREY     ,Equilinea,Por revisar,,,
512,CONGELADOR HORIZONTAL POLAR CH-7 R600    ,Naresa,Por revisar,,,
512,CONGELADOR HORIZONTAL POLAR CH-7 R600    ,Equilinea,Por revisar,,,
518,CONGELADOR HORIZONTAL POLAR CH-25 R290 ,Naresa,Por revisar,,,
518,CONGELADOR HORIZONTAL POLAR CH-25 R290 ,Equilinea,Por revisar,,,
520,CONGELADOR HORIZONTAL POLAR CH-15 R600      ,Naresa,Por revisar,,,
520,CONGELADOR HORIZONTAL POLAR CH-15 R600      ,Equilinea,Por revisar,,,
559,CARRO PARA PALOMERA TORREY PC-500         ,Naresa,Por revisar,,,
559,CARRO PARA PALOMERA TORREY PC-500         ,Equilinea,Por revisar,,,
561,CONDENSADOR REMOTO CR975,Naresa,Por revisar,,,
561,CONDENSADOR REMOTO CR975,Equilinea,Por revisar,,,
565,BASCULA DE RECIBO TORREY PCB100 KG   ,Naresa,Por revisar,,,
565,BASCULA DE RECIBO TORREY PCB100 KG   ,Equilinea,Por revisar,,,
595,BASCULA DE RECIBO TORREY PCP500 KG   ,Naresa,Por revisar,,,
595,BASCULA DE RECIBO TORREY PCP500 KG   ,Equilinea,Por revisar,,,
649,CONGELADOR TORREY VERTICAL CVSB-17 BLANCO    ,Naresa,Por revisar,,,
649,CONGELADOR TORREY VERTICAL CVSB-17 BLANCO    ,Equilinea,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Naresa,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Naresa,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Naresa,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Naresa,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Naresa,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Equilinea,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Equilinea,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Equilinea,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Equilinea,Por revisar,,,
658,DEPOSITO DE HIELO TORREY DH-250/556,Equilinea,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Naresa,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Naresa,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Naresa,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Naresa,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Naresa,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Equilinea,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Equilinea,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Equilinea,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Equilinea,Por revisar,,,
659,DEPOSITO DE HIELO TORREY DH-415/927,Equilinea,Por revisar,,,
677,BASCULA DE RECIBO TORREY 100 Kg. EQB100      ,Naresa,Por revisar,,,
677,BASCULA DE RECIBO TORREY 100 Kg. EQB100      ,Equilinea,Por revisar,,,
678,BASCULA ANTIHUMEDAD TORREY 20 Kg. EQB20/40W            ,Naresa,Por revisar,,,
